row_id,section,page_slug,provider_or_product,source_url,metric_key,metric_label,metric_value_text,value_numeric,value_min,value_max,unit,tier,source_type,verification_date,is_headline,confidence,figure_status,notes
a2z-airport-parking-compare-book__cancellation,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Cancellation,"Flexible bookings only, at least 48 hours before arrival, less a fee the terms put at £10 and the FAQ at £20",,,,,,own_review,2026-09-23,false,high,current,
a2z-airport-parking-compare-book__card-processing,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Card processing,Stripe. A2Z says it does not store full card details on its own servers,2,,,,,own_review,2026-09-23,false,high,current,
a2z-airport-parking-compare-book__cheapest-park-and-ride,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Cheapest park and ride,£8.15 a day at Manchester · £10.28 at Heathrow — A2Z's own live results for seven nights from 30 September 2026,,,,,,own_review,2026-09-23,true,high,current,
a2z-airport-parking-compare-book__company,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Company,"A2Z Airport Parking Ltd, registered in England and Wales, 10693802, incorporated 28 March 2017",,,,,,own_review,2026-09-23,false,high,current,
a2z-airport-parking-compare-book__office-hours,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Office hours,"Monday to Friday, 08:00 to 16:00. Closed on bank holidays",,,,,,own_review,2026-09-23,false,high,current,
a2z-airport-parking-compare-book__owner-since-1-july-2026,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Owner since 1 July 2026,"Aamir Raja, 75% or more of shares and voting rights",75,,,,,own_review,2026-09-23,false,high,current,
a2z-airport-parking-compare-book__registered-office,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Registered office,"390 London Road, Mitcham, England, CR4 4EA",,,,,,own_review,2026-09-23,false,high,current,
a2z-airport-parking-compare-book__regulator,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,Regulator,"None. Airport parking sits outside the FCA, and there is no ombudsman or ADR scheme for it",,,,,,own_review,2026-09-23,false,high,current,
a2z-airport-parking-compare-book__what-it-is,Airport Parking,a2z-airport-parking-compare-book,A2Z Airport Parking: Compare & Book,https://compare100.com/a2z-airport-parking-compare-book/,,What it is,"A booking agent. The parking contract is with the car park operator, not with A2Z",2,,,,,own_review,2026-09-23,false,high,current,
aph-airport-parking__booking-fee,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Booking fee,None advertised; APH states “no hidden fees or booking charges”,,,,,,own_review,2026-09-15,false,high,current,
aph-airport-parking__cheapest-park-and-ride,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Cheapest park and ride,£7.49 a day at Gatwick · £6.17 at Heathrow (APH's own advertised floors),,,,,,own_review,2026-09-15,true,high,current,
aph-airport-parking__company,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Company,"Airport Parking and Hotels Limited, registered in England and Wales, 01539777",01539777,,,,,own_review,2026-09-15,false,high,current,
aph-airport-parking__complaints,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Complaints,"Acknowledged within 5 working days, written decision aimed at within 30 days; no ombudsman covers parking",,,,,,own_review,2026-09-15,false,high,current,
aph-airport-parking__independent-rating,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Independent rating,"Which? Recommended Provider, park and ride, customer score 80% (March 2026)",,,,,,own_review,2026-09-15,false,high,current,
aph-airport-parking__own-car-parks,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Own car parks,"Gatwick, Manchester and Cardiff; around 7,000 spaces",7000,,,,,own_review,2026-09-15,false,high,current,
aph-airport-parking__owner,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Owner,"Crawley Down Holdings Limited (07123465) holds 75% or more, notified 1 July 2016",,,,,,own_review,2026-09-15,false,high,current,
aph-airport-parking__security-award,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Security award,Park Mark Plus at Gatwick (June 2023) and at Manchester; renamed Safer Parking Plus from 1 April 2026,,,,,,own_review,2026-09-15,false,high,current,
aph-airport-parking__trade-body,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Trade body,"Independent Airport Parking Association, one of 14 members",14,,,,,own_review,2026-09-15,false,high,current,
aph-airport-parking__trading-since,Airport Parking,aph-airport-parking,APH Airport Parking Review,https://compare100.com/aph-airport-parking/,,Trading since,Incorporated 19 January 1981 as Airport Parking (Gatwick) Limited; renamed 26 April 1996,,,,,,own_review,2026-09-15,false,high,current,
holiday-extras-airport-parking__amendment-fee,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Amendment fee,None — you pay only a price difference,,,,,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__cheapest-park-and-ride,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Cheapest park and ride,£5.74 a day at Gatwick · £11.33 at Heathrow,,,,,,own_review,2026-09-11,true,high,current,
holiday-extras-airport-parking__company,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Company,"Holiday Extras Limited, registered in England and Wales, 01693250",01693250,,,,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__gatwick-entry-price,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Gatwick entry price,£5.74 a day; £45.95 for eight days (11 September 2026),,,,,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__heathrow-entry-price,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Heathrow entry price,£11.33 a day; £90.62 for a week (11 September 2026),,,,,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__incorporated,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Incorporated,"21 January 1983, as Apple Booking Company Limited",,,,,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__insurance-arm,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Insurance arm,"Holiday Extras Cover Limited, 05058680, FCA firm reference 828848",,,,,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__ownership,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Ownership,Employee Benefit Trust and management team; founders exited in 2024,2024,,,,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__refund-fee,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Refund fee,£10 processing fee on any voucher converted to cash,10,,,GBP,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__registered-office,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Registered office,"Ashford Road, Newingreen, Hythe, Kent CT21 4JF",,,,,,own_review,2026-09-11,false,high,current,
holiday-extras-airport-parking__scale-claimed,Airport Parking,holiday-extras-airport-parking,"Holiday Extras Airport Parking: Prices, Fare Types and What the Voucher Is Worth",https://compare100.com/holiday-extras-airport-parking/,,Scale claimed,More than 8 million travellers a year; 19 UK airports,,,,,,own_review,2026-09-11,false,high,current,
purple-parking-airport-parking__car-parks-listed-at-gatwick,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Car parks listed at Gatwick,"29, of which one is Purple Parking's own",29,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__cheapest-fares,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Cheapest fares,SAVER bookings cannot be amended and are not refunded,,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__cheapest-park-and-ride,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Cheapest park and ride,£4.21 a day at Gatwick · £5.12 at Heathrow,,,,,,own_review,2026-09-07,true,high,current,
purple-parking-airport-parking__complaints,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Complaints,Online form; the company says 80% of issues close within 21 days,,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__coverage,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Coverage,"31 UK airports and ports, including Dover and Southampton docks",31,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__gatwick-cheapest-park-and-ride,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,"Gatwick, cheapest park and ride",£4.21 a day / £33.75 for 8 days,,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__heathrow-cheapest-park-and-ride,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,"Heathrow, cheapest park and ride",£5.12 a day / £40.95 for 8 days,,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__meet-and-greet,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Meet and greet,"From £5.87 a day at Gatwick, £10.63 a day at Heathrow",,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__no-show-fee,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,No-show fee,"£25 on meet and greet, plus the non-refundable booking fee",25,,,GBP,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__owner,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Owner,"Holiday Extras Limited (company 01693250), since 2 November 2017",,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__regulator-for-the-parking,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Regulator for the parking,None; only the group's travel insurance arm is FCA authorised,,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__security,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Security,"Park Mark, renamed Safer Parking by Police CPI in April 2026",2026,,,,,own_review,2026-09-07,false,high,current,
purple-parking-airport-parking__transfer-times,Airport Parking,purple-parking-airport-parking,"Purple Parking Review: Prices, Car Parks and the Small Print",https://compare100.com/purple-parking-airport-parking/,,Transfer times,3 to 20 minutes at Heathrow; 10 to 15 minutes at Gatwick,,,,,,own_review,2026-09-07,false,high,current,
compare-boat-insurance-review__cooling-off-period,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Cooling-off period,"14 days, no cancellation fee",14,,,,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__fca-firm-reference,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,FCA firm reference,307824,307824,,,,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__insurer-panel,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Insurer panel,"AIG UK, MS Amlin, Navigators & General, Towergate Mardon",,,,,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__operated-by,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Operated by,"CETA Insurance Ltd, Chipping Norton (company no. 02827690)",02827690,,,,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__personal-accident,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Personal accident,"Up to £60,000 for any one event",60000,,,GBP,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__quote-validity,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Quote validity,30 days at the rate shown,30,,,,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__sales-line,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Sales line,01608 647806,,,,,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__set-up-or-renewal-fee,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Set-up or renewal fee,£40 to £100 depending on policy type,,,,,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__standard-third-party-liability,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Standard third party liability,£3 million (inland waterways product),3,,,GBP,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__third-party-liability,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Third-party liability,£3 million standard on the inland waterways product,3,,,GBP,,own_review,2026-08-23,true,high,current,
compare-boat-insurance-review__trading-since,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,Trading since,16 June 1993,,,,,,own_review,2026-08-23,false,high,current,
compare-boat-insurance-review__uk-coastal-use-included,Boat Insurance,compare-boat-insurance-review,Compare-Boat-Insurance.co.uk Boat Insurance,https://compare100.com/compare-boat-insurance-review/,,UK coastal use included,"30 days per policy period, prior notice required",30,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__customer-rating,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Customer rating,"Feefo 4.8 out of 5 from 11,625 reviews in the past year",,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__european-waters-included,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,European waters included,30 days a year on the All Weather policy,30,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__excess-reduction,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Excess reduction,Up to 50% on a clean claims record,50,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__fca-firm-reference,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,FCA firm reference,"307663, verifiable on the FCA Register",307663,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__marine-office,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Marine office,"Malling House, Town Hill, West Malling, Kent ME19 6QL",,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__no-claims-discount,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,No-claims discount,"5% a year, reaching 25% after five claim-free years",,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__policy-tiers,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Policy tiers,All Weather (full cover) and Base Layer (club-level basics),,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__race-entry-fees,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Race entry fees,"Up to £1,000 where racing cover is agreed",1000,,,GBP,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__registered-office,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Registered office,"One Creechurch Place, London EC3A 5AF",,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__sales-line,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Sales line,01732 223650,,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__tender-and-outboard,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Tender and outboard,Free to £350 combined value,350,,,GBP,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__third-party-liability,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Third-party liability,£5 million as standard,5,,,GBP,,own_review,2026-08-23,true,high,current,
haven-knox-johnston-boat-insurance-review__third-party-liability,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Third party liability,£5 million as standard,5,,,GBP,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__trading-name-of,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Trading name of,Howden UK Brokers Limited (company no. 02831010),02831010,,,,,own_review,2026-08-23,false,high,current,
haven-knox-johnston-boat-insurance-review__underwriter,Boat Insurance,haven-knox-johnston-boat-insurance-review,Haven Knox-Johnston Boat Insurance,https://compare100.com/haven-knox-johnston-boat-insurance-review/,,Underwriter,"MS Amlin Marine, three-year deal announced 5 January 2024",,,,,,own_review,2026-08-23,false,high,current,
insure4boats-boat-insurance-review__basis-of-sale,Boat Insurance,insure4boats-boat-insurance-review,"Insure4Boats Review: Small Craft, Jet Skis and the Conditions Attached",https://compare100.com/insure4boats-boat-insurance-review/,,Basis of sale,Non-advised; the firm acts as agent of the insurer,,,,,,own_review,2026-08-30,false,high,current,
insure4boats-boat-insurance-review__cancellation-fee,Boat Insurance,insure4boats-boat-insurance-review,"Insure4Boats Review: Small Craft, Jet Skis and the Conditions Attached",https://compare100.com/insure4boats-boat-insurance-review/,,Cancellation fee,"Up to £45, with refunds under £10 not paid",,,,,,own_review,2026-08-30,false,high,current,
insure4boats-boat-insurance-review__cooling-off-period,Boat Insurance,insure4boats-boat-insurance-review,"Insure4Boats Review: Small Craft, Jet Skis and the Conditions Attached",https://compare100.com/insure4boats-boat-insurance-review/,,Cooling-off period,"14 days from start, renewal or receipt of documents",14,,,,,own_review,2026-08-30,false,high,current,
insure4boats-boat-insurance-review__craft-covered,Boat Insurance,insure4boats-boat-insurance-review,"Insure4Boats Review: Small Craft, Jet Skis and the Conditions Attached",https://compare100.com/insure4boats-boat-insurance-review/,,Craft covered,Paddleboards and kayaks up to yachts; five separate wordings,,,,,,own_review,2026-08-30,false,high,current,
insure4boats-boat-insurance-review__fca-firm-reference,Boat Insurance,insure4boats-boat-insurance-review,"Insure4Boats Review: Small Craft, Jet Skis and the Conditions Attached",https://compare100.com/insure4boats-boat-insurance-review/,,FCA firm reference,313411 — verifiable on the FCA Register,313411,,,,,own_review,2026-08-30,false,high,current,
